	tax1	tax2	tax3	spname	nucleotides	orfs	enzymes	rnas
bhl	Prokaryotes	Bacteria	Bacteroidetes	Bacteroides helcogenes	3998906	3244	580	83
bsa	Prokaryotes	Bacteria	Bacteroidetes	Bacteroides salanitronis	4308663	3641	527	101
bxy	Prokaryotes	Bacteria	Bacteroidetes	Bacteroides xylanisolvens	5976145	4407	581	59
bdo	Prokaryotes	Bacteria	Bacteroidetes	Bacteroides dorei HS1_L_1_B_010	5729085	4519	628	105
bdh	Prokaryotes	Bacteria	Bacteroidetes	Bacteroides dorei HS1_L_3_B_079	5243219	4024	626	100
boa	Prokaryotes	Bacteria	Bacteroidetes	Bacteroides ovatus	6472489	4910	627	87
bcel	Prokaryotes	Bacteria	Bacteroidetes	Bacteroides cellulosilyticus	7084828	5475	632	79
bacc	Prokaryotes	Bacteria	Bacteroidetes	Bacteroidales bacterium CF	2657245	2310	495	46
pgi	Prokaryotes	Bacteria	Bacteroidetes	Porphyromonas gingivalis W83	2343476	1909	441	65
pgn	Prokaryotes	Bacteria	Bacteroidetes	Porphyromonas gingivalis ATCC 33277	2354886	2090	453	65
pgt	Prokaryotes	Bacteria	Bacteroidetes	Porphyromonas gingivalis TDC60	2339898	2220	457	65
pah	Prokaryotes	Bacteria	Bacteroidetes	Porphyromonas asaccharolytica	2186370	1699	418	55
pbt	Prokaryotes	Bacteria	Bacteroidetes	Fermentimonas caenicola	2808926	2405	536	50
pmuc	Prokaryotes	Bacteria	Bacteroidetes	Petrimonas mucosa	3717632	3000	531	90
ppn	Prokaryotes	Bacteria	Bacteroidetes	Paludibacter propionicigenes	3685504	3020	580	64
pdi	Prokaryotes	Bacteria	Bacteroidetes	Parabacteroides distasonis	4811379	3850	604	104
pary	Prokaryotes	Bacteria	Bacteroidetes	Parabacteroides sp. YL27	3306456	2600	488	69
tfo	Prokaryotes	Bacteria	Bacteroidetes	Tannerella forsythia	3405521	3001	480	54
toh	Prokaryotes	Bacteria	Bacteroidetes	Tannerella sp. oral taxon HOT-286	2973531	2330	446	54
bvs	Prokaryotes	Bacteria	Bacteroidetes	Barnesiella viscericola	3076856	2512	486	78
psac	Prokaryotes	Bacteria	Bacteroidetes	Proteiniphilum saccharofermentans	4414963	3450	594	54
osp	Prokaryotes	Bacteria	Bacteroidetes	Odoribacter splanchnicus	4392288	3497	548	74
aps	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Azobacteroides pseudotrichonymphae (Coptotermes formosanus)	1224919	852	335	42
pru	Prokaryotes	Bacteria	Bacteroidetes	Prevotella ruminicola	3619559	2763	502	67
pmz	Prokaryotes	Bacteria	Bacteroidetes	Prevotella melaninogenica	3168282	2296	442	66
pdn	Prokaryotes	Bacteria	Bacteroidetes	Prevotella denticola	2937589	2386	444	67
pit	Prokaryotes	Bacteria	Bacteroidetes	Prevotella intermedia	2699437	2266	401	64
pdt	Prokaryotes	Bacteria	Bacteroidetes	Prevotella dentalis	3350206	2544	480	86
pro	Prokaryotes	Bacteria	Bacteroidetes	Prevotella sp. oral taxon 299	2480269	1960	398	61
pfus	Prokaryotes	Bacteria	Bacteroidetes	Prevotella fusca	3261806	2430	438	62
peo	Prokaryotes	Bacteria	Bacteroidetes	Prevotella enoeca	2861432	2333	423	61
afd	Prokaryotes	Bacteria	Bacteroidetes	Alistipes finegoldii	3734239	3110	480	68
ash	Prokaryotes	Bacteria	Bacteroidetes	Alistipes shahii	3763317	2563	425	53
rbc	Prokaryotes	Bacteria	Bacteroidetes	Mucinivorans hirudinis	3149227	3015	472	45
dori	Prokaryotes	Bacteria	Bacteroidetes	Draconibacterium orientale	5132075	3971	662	52
blq	Prokaryotes	Bacteria	Bacteroidetes	Salinivirga cyanobacteriivorans	4812386	3865	568	58
sru	Prokaryotes	Bacteria	Bacteroidetes	Salinibacter ruber DSM 13855	3587328	2833	553	48
srm	Prokaryotes	Bacteria	Bacteroidetes	Salinibacter ruber M8	3832918	3257	541	45
rmr	Prokaryotes	Bacteria	Bacteroidetes	Rhodothermus marinus DSM 4252	3386737	2863	630	51
rmg	Prokaryotes	Bacteria	Bacteroidetes	Rhodothermus marinus SG0.5JP17-172	3334122	2838	622	52
rbar	Prokaryotes	Bacteria	Bacteroidetes	Rhodothermaceae bacterium RA	4653222	3506	601	50
cpi	Prokaryotes	Bacteria	Bacteroidetes	Chitinophaga pinensis	9127347	7192	746	98
nko	Prokaryotes	Bacteria	Bacteroidetes	Niastella koreensis	9033684	7174	753	78
nso	Prokaryotes	Bacteria	Bacteroidetes	Niabella soli	4697343	4110	617	45
nia	Prokaryotes	Bacteria	Bacteroidetes	Niabella ginsenosidivorans	5627734	4619	639	52
fla	Prokaryotes	Bacteria	Bacteroidetes	Flavisolibacter sp. LCS9	5940863	4598	610	52
arb	Prokaryotes	Bacteria	Bacteroidetes	Arachidicoccus sp. BS20	3492500	2971	504	45
hhy	Prokaryotes	Bacteria	Bacteroidetes	Haliscomenobacter hydrossis	8771651	6752	730	60
sgn	Prokaryotes	Bacteria	Bacteroidetes	Saprospira grandis	4400185	4251	491	64
phe	Prokaryotes	Bacteria	Bacteroidetes	Pedobacter heparinus	5167383	4252	618	52
pep	Prokaryotes	Bacteria	Bacteroidetes	Pedobacter sp. PACM 27299	6147290	4986	669	98
pcm	Prokaryotes	Bacteria	Bacteroidetes	Pedobacter cryoconitis	5950539	4922	675	88
psty	Prokaryotes	Bacteria	Bacteroidetes	Pedobacter steynii	6581659	5362	677	79
psn	Prokaryotes	Bacteria	Bacteroidetes	Pseudopedobacter saltans	4635236	3792	616	67
shg	Prokaryotes	Bacteria	Bacteroidetes	Sphingobacterium sp. 21	6226409	5169	667	68
sht	Prokaryotes	Bacteria	Bacteroidetes	Sphingobacterium sp. ML3W	5329010	4093	615	114
sphn	Prokaryotes	Bacteria	Bacteroidetes	Sphingobacterium sp. B29	6357185	5103	656	96
scn	Prokaryotes	Bacteria	Bacteroidetes	Solitalea canadensis	5202069	4310	642	74
mup	Prokaryotes	Bacteria	Bacteroidetes	Mucilaginibacter sp. PAMC 26640	5618021	4758	653	59
cmr	Prokaryotes	Bacteria	Bacteroidetes	Cyclobacterium marinum	6221273	5000	654	50
camu	Prokaryotes	Bacteria	Bacteroidetes	Cyclobacterium amurskyense	6158829	4768	654	53
bbd	Prokaryotes	Bacteria	Bacteroidetes	Belliella baltica	4196595	3680	618	53
evi	Prokaryotes	Bacteria	Bacteroidetes	Echinicola vietnamensis	5608040	4547	662	59
alm	Prokaryotes	Bacteria	Bacteroidetes	Algoriphagus sp. M8-2	3882610	3377	636	50
chu	Prokaryotes	Bacteria	Bacteroidetes	Cytophaga hutchinsonii	4433218	3785	563	48
dfe	Prokaryotes	Bacteria	Bacteroidetes	Dyadobacter fermentans	6967790	5719	700	51
sli	Prokaryotes	Bacteria	Bacteroidetes	Spirosoma linguale	8491258	6938	735	63
srd	Prokaryotes	Bacteria	Bacteroidetes	Spirosoma radiotolerans	7029352	5328	688	50
smon	Prokaryotes	Bacteria	Bacteroidetes	Spirosoma montaniterrae	5797678	4815	661	50
lby	Prokaryotes	Bacteria	Bacteroidetes	Leadbetterella byssophila	4059653	3465	596	53
rsi	Prokaryotes	Bacteria	Bacteroidetes	Runella slithyformis	6919729	5792	715	51
eol	Prokaryotes	Bacteria	Bacteroidetes	Emticicia oligotrophica	5220361	4267	664	48
fae	Prokaryotes	Bacteria	Bacteroidetes	Fibrella aestuarina	6937263	5627	705	76
fib	Prokaryotes	Bacteria	Bacteroidetes	Fibrella sp. ES10-3-2-2	6408035	5038	701	54
fli	Prokaryotes	Bacteria	Bacteroidetes	Bernardetia litoralis	4919337	3878	547	60
hsw	Prokaryotes	Bacteria	Bacteroidetes	Hymenobacter swuensis	5252070	4616	681	52
hym	Prokaryotes	Bacteria	Bacteroidetes	Hymenobacter sp. APR13	5010594	4244	611	54
hyd	Prokaryotes	Bacteria	Bacteroidetes	Hymenobacter sp. DG25B	4360029	3153	566	49
hye	Prokaryotes	Bacteria	Bacteroidetes	Hymenobacter sp. DG25A	3777136	2991	572	50
hyg	Prokaryotes	Bacteria	Bacteroidetes	Hymenobacter sp. DG5B	4868852	3844	654	53
hyp	Prokaryotes	Bacteria	Bacteroidetes	Hymenobacter sp. PAMC 26554	5451254	4478	630	57
pko	Prokaryotes	Bacteria	Bacteroidetes	Pontibacter korlensis	5462537	4116	660	62
ruf	Prokaryotes	Bacteria	Bacteroidetes	Rufibacter sp. DG31D	4820793	3457	631	47
rti	Prokaryotes	Bacteria	Bacteroidetes	Rufibacter tibetensis	5413467	4112	666	58
rud	Prokaryotes	Bacteria	Bacteroidetes	Rufibacter sp. DG15C	4143738	3169	556	52
mtt	Prokaryotes	Bacteria	Bacteroidetes	Marivirga tractuosa	4516490	3757	585	49
flm	Prokaryotes	Bacteria	Bacteroidetes	Flammeovirga sp. MY04	7327614	5556	697	110
fbt	Prokaryotes	Bacteria	Bacteroidetes	Flammeovirgaceae bacterium 311	6665617	5387	711	61
aas	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Amoebophilus asiaticus	1884364	1335	187	41
che	Prokaryotes	Bacteria	Bacteroidetes	Cardinium endosymbiont cEper1 (Encarsia pergandiella)	944930	904	168	41
gfo	Prokaryotes	Bacteria	Bacteroidetes	Gramella forsetii	3798465	3584	597	53
grl	Prokaryotes	Bacteria	Bacteroidetes	Gramella sp. LPB0144	2978889	2604	550	58
gfl	Prokaryotes	Bacteria	Bacteroidetes	Gramella flava	4007868	3634	618	54
fjo	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium johnsoniae UW101	6096872	5017	688	83
fjg	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium johnsoniae GSE09	5109718	4280	670	78
fps	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium psychrophilum JIP02/86	2860382	2446	491	67
fpc	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium psychrophilum CSF259-93	2900735	2634	489	67
fpy	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium psychrophilum FPG101	2835130	2413	483	68
fpo	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium psychrophilum FPG3	2715909	2305	480	68
fpq	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium psychrophilum 950106-1/1	2736292	2309	479	42
fpv	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium psychrophilum V3-5	2698020	2268	483	44
fpw	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium psychrophilum V4-24	2684585	2254	480	42
fpk	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium psychrophilum v4-33	2699386	2266	479	43
fpsz	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium psychrophilum Z2	4142224	3442	548	58
fbr	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium branchiophilum	3563292	2872	557	53
fco	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium columnare	3162432	2642	525	89
fin	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium indicum	2993089	2671	506	67
fgl	Prokaryotes	Bacteria	Bacteroidetes	Flavobacterium gilvum	4402594	3463	614	73
coc	Prokaryotes	Bacteria	Bacteroidetes	Capnocytophaga ochracea	2612925	2171	443	62
ccm	Prokaryotes	Bacteria	Bacteroidetes	Capnocytophaga canimorsus	2571406	2405	440	67
col	Prokaryotes	Bacteria	Bacteroidetes	Capnocytophaga sp. oral taxon 323	2614527	2114	431	60
chg	Prokaryotes	Bacteria	Bacteroidetes	Capnocytophaga haemolytica	2688484	2228	450	64
rbi	Prokaryotes	Bacteria	Bacteroidetes	Robiginitalea biformata	3530383	3211	596	46
zpr	Prokaryotes	Bacteria	Bacteroidetes	Zunongwangia profunda	5128187	4653	664	56
cat	Prokaryotes	Bacteria	Bacteroidetes	Croceibacter atlanticus	2952962	2702	518	40
ran	Prokaryotes	Bacteria	Bacteroidetes	Riemerella anatipestifer ATCC 11845 = DSM 15868	2155121	1972	432	51
rai	Prokaryotes	Bacteria	Bacteroidetes	Riemerella anatipestifer ATCC 11845 = DSM 15868	2164087	1941	421	42
rar	Prokaryotes	Bacteria	Bacteroidetes	Riemerella anatipestifer RA-GD	2166384	1985	418	52
rag	Prokaryotes	Bacteria	Bacteroidetes	Riemerella anatipestifer RA-CH-1	2309519	2187	443	50
rae	Prokaryotes	Bacteria	Bacteroidetes	Riemerella anatipestifer RA-CH-2	2166321	2044	435	50
rat	Prokaryotes	Bacteria	Bacteroidetes	Riemerella anatipestifer CH3	2234477	2181	444	50
fbc	Prokaryotes	Bacteria	Bacteroidetes	Maribacter sp. HTCC2170	3868304	3411	604	44
marm	Prokaryotes	Bacteria	Bacteroidetes	Maribacter sp. 1_2014MBL_MicDiv	4399611	3609	644	45
mart	Prokaryotes	Bacteria	Bacteroidetes	Maribacter sp. T28	4271158	3609	628	55
cao	Prokaryotes	Bacteria	Bacteroidetes	Cellulophaga algicola	4888353	4163	645	62
cly	Prokaryotes	Bacteria	Bacteroidetes	Cellulophaga lytica DSM 7489	3765936	3284	599	55
clh	Prokaryotes	Bacteria	Bacteroidetes	Cellulophaga lytica HI1	3824196	3168	588	53
cbal	Prokaryotes	Bacteria	Bacteroidetes	Cellulophaga baltica NN016038	4560540	3726	643	56
cbat	Prokaryotes	Bacteria	Bacteroidetes	Cellulophaga baltica 18	4635105	3755	646	55
wvi	Prokaryotes	Bacteria	Bacteroidetes	Weeksella virosa	2272954	2049	461	76
kdi	Prokaryotes	Bacteria	Bacteroidetes	Dokdonia sp. 4H-3-7-5	3389993	2978	574	54
dok	Prokaryotes	Bacteria	Bacteroidetes	Dokdonia sp. MED134	3302548	2886	559	51
ddo	Prokaryotes	Bacteria	Bacteroidetes	Dokdonia donghaensis	3293944	2881	565	55
lan	Prokaryotes	Bacteria	Bacteroidetes	Lacinutrix sp. 5H-3-7-4	3296168	2967	558	45
lvn	Prokaryotes	Bacteria	Bacteroidetes	Lacinutrix venerupis	3192399	2801	548	46
zga	Prokaryotes	Bacteria	Bacteroidetes	Zobellia galactanivorans	5521712	4733	671	46
mrs	Prokaryotes	Bacteria	Bacteroidetes	Muricauda ruestringensis	3842422	3432	596	47
mlt	Prokaryotes	Bacteria	Bacteroidetes	Muricauda lutaonensis	3274259	2906	558	47
asl	Prokaryotes	Bacteria	Bacteroidetes	Aequorivita sublithincola	3520671	3140	516	44
orh	Prokaryotes	Bacteria	Bacteroidetes	Ornithobacterium rhinotracheale DSM 15997	2399175	2267	456	54
ori	Prokaryotes	Bacteria	Bacteroidetes	Ornithobacterium rhinotracheale ORT-UMN 88	2397867	2300	457	53
ptq	Prokaryotes	Bacteria	Bacteroidetes	Psychroflexus torquis	4321832	3526	564	45
ndo	Prokaryotes	Bacteria	Bacteroidetes	Nonlabens dokdonensis	3914632	3618	531	48
nom	Prokaryotes	Bacteria	Bacteroidetes	Nonlabens sp. MIC269	2884293	2477	490	46
pom	Prokaryotes	Bacteria	Bacteroidetes	Polaribacter sp. MED152	2961474	2635	556	41
pob	Prokaryotes	Bacteria	Bacteroidetes	Polaribacter vadi	3809314	3223	609	53
prn	Prokaryotes	Bacteria	Bacteroidetes	Polaribacter reichenbachii	4125014	3432	619	53
pola	Prokaryotes	Bacteria	Bacteroidetes	Polaribacter sp. BM10	3254403	2771	570	68
eao	Prokaryotes	Bacteria	Bacteroidetes	Elizabethkingia anophelis NUHP1	4369828	4076	604	67
emn	Prokaryotes	Bacteria	Bacteroidetes	Elizabethkingia anophelis FMS-007	3938967	3596	602	67
elb	Prokaryotes	Bacteria	Bacteroidetes	Elizabethkingia miricola	4242519	3893	599	71
een	Prokaryotes	Bacteria	Bacteroidetes	Elizabethkingia endophytica	4184507	3675	605	65
emg	Prokaryotes	Bacteria	Bacteroidetes	Elizabethkingia meningoseptica	3873125	3400	588	64
myr	Prokaryotes	Bacteria	Bacteroidetes	Myroides sp. A21	4155464	3650	539	136
mpw	Prokaryotes	Bacteria	Bacteroidetes	Myroides profundi	4064534	3548	536	115
mod	Prokaryotes	Bacteria	Bacteroidetes	Myroides odoratimimus	4457748	3828	545	133
myz	Prokaryotes	Bacteria	Bacteroidetes	Myroides sp. ZB35	4065010	3428	542	135
chz	Prokaryotes	Bacteria	Bacteroidetes	Chryseobacterium sp. StRB126	5503743	4828	628	98
cgn	Prokaryotes	Bacteria	Bacteroidetes	Chryseobacterium gallinarum	4633632	3832	583	93
cih	Prokaryotes	Bacteria	Bacteroidetes	Chryseobacterium sp. IHB B 17019	4077766	3642	555	89
chh	Prokaryotes	Bacteria	Bacteroidetes	Chryseobacterium sp. IHB B 10212	4871648	4260	597	99
win	Prokaryotes	Bacteria	Bacteroidetes	Winogradskyella sp. PG-2	3811479	3527	573	55
wij	Prokaryotes	Bacteria	Bacteroidetes	Winogradskyella sp. J14-2	3349669	2948	511	48
sze	Prokaryotes	Bacteria	Bacteroidetes	Siansivirga zeaxanthinifaciens	3303986	2761	557	53
ahz	Prokaryotes	Bacteria	Bacteroidetes	Algibacter alginolytica	3994770	3256	585	47
syi	Prokaryotes	Bacteria	Bacteroidetes	Sediminicola sp. YIK13	3569807	2974	582	51
tdi	Prokaryotes	Bacteria	Bacteroidetes	Tenacibaculum dicentrarchi	2918253	2420	525	100
ten	Prokaryotes	Bacteria	Bacteroidetes	Tenacibaculum sp. LPB0136	3019213	2661	541	53
lut	Prokaryotes	Bacteria	Bacteroidetes	Lutibacter profundi	2966978	2537	536	47
lul	Prokaryotes	Bacteria	Bacteroidetes	Lutibacter sp. LPB0138	3426122	2970	582	49
wfu	Prokaryotes	Bacteria	Bacteroidetes	Wenyingzhuangia fucanilytica	3427057	2752	571	68
for	Prokaryotes	Bacteria	Bacteroidetes	Formosa sp. Hel1_33_131	2735158	2628	495	47
foh	Prokaryotes	Bacteria	Bacteroidetes	Formosa sp. Hel3_A1_48	2016454	1866	463	47
salt	Prokaryotes	Bacteria	Bacteroidetes	Salegentibacter sp. T436	4086550	3499	627	54
seon	Prokaryotes	Bacteria	Bacteroidetes	Seonamhaeicola sp. S2-3	3752836	3170	592	50
fba	Prokaryotes	Bacteria	Bacteroidetes	Flavobacteriaceae bacterium 3519-10	2768102	2534	510	48
fbu	Prokaryotes	Bacteria	Bacteroidetes	Flavobacteriaceae bacterium UJ101	3074209	2683	559	55
smg	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Sulcia muelleri GWSS	245530	227	96	36
sms	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Sulcia muelleri SMDSEM	276984	242	104	33
smh	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Sulcia muelleri DMIN	243933	226	96	35
sum	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Sulcia muelleri CARI	276511	246	105	34
smv	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Sulcia muelleri Sulcia-ALF	190733	188	79	35
smub	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Sulcia muelleri BGSS	244618	227	94	34
smum	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Sulcia muelleri ML	190405	187	79	32
smue	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Sulcia muelleri TETUND	270029	247	103	35
smup	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Sulcia muelleri PSPU	285352	251	110	33
bbl	Prokaryotes	Bacteria	Bacteroidetes	Blattabacterium Bge (Blattella germanica)	640935	590	298	40
bpi	Prokaryotes	Bacteria	Bacteroidetes	Blattabacterium BPLAN (Periplaneta americana)	640442	582	291	38
bmm	Prokaryotes	Bacteria	Bacteroidetes	Blattabacterium sp. (Mastotermes darwiniensis)	590336	544	266	40
bcp	Prokaryotes	Bacteria	Bacteroidetes	Blattabacterium Cpu (Cryptocercus punctulatus)	609561	548	266	38
bbg	Prokaryotes	Bacteria	Bacteroidetes	Blattabacterium sp. (Blaberus giganteus)	632588	577	288	37
bbq	Prokaryotes	Bacteria	Bacteroidetes	Blattabacterium sp. (Blatta orientalis)	638184	579	289	39
blp	Prokaryotes	Bacteria	Bacteroidetes	Blattabacterium sp. (Panesthia angustipennis spadica)	632490	575	285	40
blu	Prokaryotes	Bacteria	Bacteroidetes	Blattabacterium sp. (Nauphoeta cinerea)	626626	586	286	36
fte	Prokaryotes	Bacteria	Bacteroidetes	Fluviicola taffensis	4633577	4033	530	49
oho	Prokaryotes	Bacteria	Bacteroidetes	Owenweeksia hongkongensis	4000057	3485	539	45
udi	Prokaryotes	Bacteria	Bacteroidetes	Candidatus Uzinura diaspidicola	263431	227	114	35
elv	Prokaryotes	Bacteria	Bacteroidetes	Walczuchella monophlebidarum	309299	243	100	38
bbau	Prokaryotes	Bacteria	Bacteroidetes	Bacteroidetes bacterium	3236529	2598	486	41
cte	Prokaryotes	Bacteria	Chlorobi	Chlorobium tepidum	2154946	2245	530	56
cpc	Prokaryotes	Bacteria	Chlorobi	Chlorobaculum parvum	2289249	2043	553	58
clz	Prokaryotes	Bacteria	Chlorobi	Chlorobaculum limnaeum	2797276	2452	547	58
cch	Prokaryotes	Bacteria	Chlorobi	Chlorobium chlorochromatii	2572079	2002	524	45
cph	Prokaryotes	Bacteria	Chlorobi	Chlorobium phaeobacteroides DSM 266	3133902	2650	553	56
cpb	Prokaryotes	Bacteria	Chlorobi	Chlorobium phaeobacteroides BS1	2736403	2469	556	55
cli	Prokaryotes	Bacteria	Chlorobi	Chlorobium limicola	2763181	2434	570	54
pvi	Prokaryotes	Bacteria	Chlorobi	Chlorobium phaeovibrioides	1966858	1753	519	51
plt	Prokaryotes	Bacteria	Chlorobi	Chlorobium luteolum	2364842	2083	537	54
pph	Prokaryotes	Bacteria	Chlorobi	Pelodictyon phaeoclathratiforme	3018238	2707	556	60
paa	Prokaryotes	Bacteria	Chlorobi	Prosthecochloris aestuarii	2579695	2327	553	51
proc	Prokaryotes	Bacteria	Chlorobi	Prosthecochloris sp. CIB 2401	2399849	2200	536	58
prs	Prokaryotes	Bacteria	Chlorobi	Prosthecochloris sp. HL-130-GSB	2414726	2006		56
cts	Prokaryotes	Bacteria	Chlorobi	Chloroherpeton thalassium	3293456	2710	570	50
ial	Prokaryotes	Bacteria	Chlorobi	Ignavibacterium album	3658997	3195	586	48
mro	Prokaryotes	Bacteria	Chlorobi	Melioribacter roseus	3300414	2840	634	48
caci	Prokaryotes	Bacteria	Cloacimonetes	Candidatus Cloacimonas acidaminovorans	2246820	1815	398	53
aae	Prokaryotes	Bacteria	Aquificae	Aquifex aeolicus	1590791	1526	483	51
hya	Prokaryotes	Bacteria	Aquificae	Hydrogenobaculum sp. Y04AAS1	1559514	1629	450	54
hho	Prokaryotes	Bacteria	Aquificae	Hydrogenobaculum sp. HO	1552931	1579	456	53
hys	Prokaryotes	Bacteria	Aquificae	Hydrogenobaculum sp. SN	1552931	1575	456	52
hth	Prokaryotes	Bacteria	Aquificae	Hydrogenobacter thermophilus	1743135	1894	496	48
hte	Prokaryotes	Bacteria	Aquificae	Hydrogenobacter thermophilus	1742932	1869	500	49
tal	Prokaryotes	Bacteria	Aquificae	Thermocrinis albus	1500577	1593	467	49
trd	Prokaryotes	Bacteria	Aquificae	Thermocrinis ruber	1521037	1627	460	47
sul	Prokaryotes	Bacteria	Aquificae	Sulfurihydrogenibium sp. YO3AOP1	1838442	1721	470	52
saf	Prokaryotes	Bacteria	Aquificae	Sulfurihydrogenibium azorense	1640877	1725	475	43
pmx	Prokaryotes	Bacteria	Aquificae	Persephonella marina	1983966	2051	506	42
ttk	Prokaryotes	Bacteria	Aquificae	Thermosulfidibacter takaii	1816670	1757	501	49
tam	Prokaryotes	Bacteria	Aquificae	Thermovibrio ammonificans	1759526	1813	463	58
dte	Prokaryotes	Bacteria	Aquificae	Desulfurobacterium thermolithotrophum	1541968	1509	452	51
tma	Prokaryotes	Bacteria	Thermotogae	Thermotoga maritima MSB8	1860725	1858	484	49
tmm	Prokaryotes	Bacteria	Thermotogae	Thermotoga maritima MSB8	1869612	1891	482	53
tmi	Prokaryotes	Bacteria	Thermotogae	Thermotoga maritima MSB8	1869644	1871	482	50
tmw	Prokaryotes	Bacteria	Thermotogae	Thermotoga maritima MSB8	1869610	1873	478	50
tmq	Prokaryotes	Bacteria	Thermotogae	Thermotoga maritima Tma100	1869610	1872	478	50
tmx	Prokaryotes	Bacteria	Thermotogae	Thermotoga maritima Tma200	1859582	1862	478	50
tpt	Prokaryotes	Bacteria	Thermotogae	Thermotoga petrophila	1823511	1785	482	52
trq	Prokaryotes	Bacteria	Thermotogae	Thermotoga sp. RQ2	1877693	1819	484	52
tna	Prokaryotes	Bacteria	Thermotogae	Thermotoga neapolitana	1884562	1937	490	51
tnp	Prokaryotes	Bacteria	Thermotogae	Thermotoga naphthophila	1809823	1768	478	52
thq	Prokaryotes	Bacteria	Thermotogae	Thermotoga sp. 2812B	1843731	1823	487	49
thz	Prokaryotes	Bacteria	Thermotogae	Thermotoga sp. Cell2	1749904	1688	463	49
thr	Prokaryotes	Bacteria	Thermotogae	Thermotoga sp. RQ7	1851618	1833	481	50
tle	Prokaryotes	Bacteria	Thermotogae	Pseudothermotoga lettingae	2135342	2040	470	52
tta	Prokaryotes	Bacteria	Thermotogae	Pseudothermotoga thermarum	2039943	1945	501	51
phy	Prokaryotes	Bacteria	Thermotogae	Pseudothermotoga hypogea	2165416	2097	459	50
tme	Prokaryotes	Bacteria	Thermotogae	Thermosipho melanesiensis	1915238	1879	457	65
taf	Prokaryotes	Bacteria	Thermotogae	Thermosipho africanus	2016657	1956	457	57
thp	Prokaryotes	Bacteria	Thermotogae	Thermosipho sp. 1063	1766633	1706	418	61
fno	Prokaryotes	Bacteria	Thermotogae	Fervidobacterium nodosum	1948941	1750	415	59
fpe	Prokaryotes	Bacteria	Thermotogae	Fervidobacterium pennivorans	2166381	1947	453	57
fia	Prokaryotes	Bacteria	Thermotogae	Fervidobacterium islandicum	2237377	1928	443	54
pmo	Prokaryotes	Bacteria	Thermotogae	Petrotoga mobilis	2169548	1898	489	57
mpz	Prokaryotes	Bacteria	Thermotogae	Marinitoga piezophila	2244793	2046	451	61
marn	Prokaryotes	Bacteria	Thermotogae	Marinitoga sp. 1137	2290181	1917	430	62
dtn	Prokaryotes	Bacteria	Thermotogae	Defluviitoga tunisiensis	2053097	1825	479	56
kol	Prokaryotes	Bacteria	Thermotogae	Kosmotoga olearia	2302126	2118	449	55
kpf	Prokaryotes	Bacteria	Thermotogae	Kosmotoga pacifica	2169170	1897	442	53
mpg	Prokaryotes	Bacteria	Thermotogae	Mesotoga prima	2975953	2574	465	76
cex	Prokaryotes	Bacteria	Caldiserica	Caldisericum exile	1558103	1582	345	52
din	Prokaryotes	Bacteria	Chrysiogenetes	Desulfurispirillum indicum	2928377	2571	570	50
ddf	Prokaryotes	Bacteria	Deferribacteres	Deferribacter desulfuricans	2542933	2374	551	51
dap	Prokaryotes	Bacteria	Deferribacteres	Denitrovibrio acetiphilus	3222077	2964	571	52
cni	Prokaryotes	Bacteria	Deferribacteres	Calditerrivibrio nitroreducens	2216552	2100	540	50
fsi	Prokaryotes	Bacteria	Deferribacteres	Flexistipes sinusarabici	2526590	2261	549	53
caby	Prokaryotes	Bacteria	Calditrichaeota	Caldithrix abyssi	4978541	4214	614	48
dth	Prokaryotes	Bacteria	Dictyoglomi	Dictyoglomus thermophilum	1959987	1912	475	56
dtu	Prokaryotes	Bacteria	Dictyoglomi	Dictyoglomus turgidum	1855560	1742	473	53
tye	Prokaryotes	Bacteria	Nitrospirae	Thermodesulfovibrio yellowstonii	2003803	2028	492	54
nde	Prokaryotes	Bacteria	Nitrospirae	Nitrospira defluvii	4317083	4268	616	49
nmv	Prokaryotes	Bacteria	Nitrospirae	Nitrospira moscoviensis	4589485	4790	623	51
